variant,method_name,mask,score,alpha_mean,alpha_std,fpr_mean,fpr_std,power_mean,power_std,threshold_mean,threshold_std,trial_fpr_mean_mean,trial_fpr_mean_std,trial_fpr_q05_mean,trial_fpr_q05_std,trial_fpr_q95_mean,trial_fpr_q95_std,trial_fpr_exceeds_alpha_frac_mean,trial_fpr_exceeds_alpha_frac_std,trial_power_mean_mean,trial_power_mean_std,trial_infinite_threshold_frac_mean,trial_infinite_threshold_frac_std,trial_calibration_objects_mean,trial_calibration_objects_std,n_seeds,seeds,numerically_flat_frac,threshold_infinite_frac,depends_on_values_frac,depends_on_fault_frac
chow_liu_leaf6,gaussian_fitted,bank0:0-1-2-4-5-7-8,conditional_max,0.1,0.0,0.05570936850590872,0.05756300873965886,0.4128871925665244,0.1196371510496207,62.541787818846544,21.460542372165122,0.05570936850590872,0.05756300873965885,0.05570936850590872,0.05756300873965886,0.05570936850590872,0.05756300873965886,0.4,0.5477225575051662,0.4128871925665244,0.11963715104962065,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,gaussian_fitted,bank0:0-1-2-4-5-7-8,independent,0.1,0.0,0.11764224307584863,0.16605573647386676,0.3771918147537251,0.1853274899745021,127.61893185531578,25.30780450781446,0.11764224307584858,0.16605573647386673,0.11764224307584863,0.16605573647386676,0.11764224307584863,0.16605573647386676,0.4,0.5477225575051662,0.37719181475372504,0.1853274899745021,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,gaussian_fitted,bank0:0-1-2-4-5-7-8,joint,0.1,0.0,0.10076196289267159,0.13078434217493398,0.4854127959620917,0.1408511665928721,121.44500425051956,23.376153350719044,0.10076196289267159,0.13078434217493395,0.10076196289267159,0.13078434217493398,0.10076196289267159,0.13078434217493398,0.4,0.5477225575051662,0.4854127959620918,0.14085116659287214,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,gaussian_fitted,bank0:0-1-2-4-5-7-8,marginal_max,0.1,0.0,0.054091568280636215,0.05381110223950202,0.26125740257743646,0.1097250635478653,60.79302507361071,19.318343515642326,0.05409156828063623,0.05381110223950203,0.054091568280636215,0.05381110223950202,0.054091568280636215,0.05381110223950202,0.4,0.5477225575051662,0.2612574025774364,0.10972506354786532,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,gaussian_fitted,bank0:0-1-2-4-5-7-8,relational_max,0.1,0.0,0.04524238086036887,0.04797698096233016,0.5017338571553678,0.0667011084933636,4.326546114031508,1.8752855720047477,0.04524238086036888,0.04797698096233016,0.04524238086036887,0.04797698096233016,0.04524238086036887,0.04797698096233016,0.2,0.44721359549995804,0.501733857155368,0.0667011084933636,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,gaussian_fitted,bank1:3,conditional_max,0.1,0.0,0.1711161324524209,0.1352394792517278,0.735927907767587,0.03751108672814273,27.56663911423997,2.538299612334466,0.17111613245242088,0.13523947925172777,0.1711161324524209,0.1352394792517278,0.1711161324524209,0.1352394792517278,0.6,0.5477225575051662,0.735927907767587,0.037511086728142747,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,gaussian_fitted,bank1:3,independent,0.1,0.0,0.12149974174693975,0.14146509489078032,0.5907307280680463,0.07474818439605313,184.3118072803679,9.030996866103484,0.12149974174693974,0.14146509489078032,0.12149974174693975,0.14146509489078032,0.12149974174693975,0.14146509489078032,0.4,0.5477225575051662,0.5907307280680463,0.074748184396053,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,gaussian_fitted,bank1:3,joint,0.1,0.0,0.09718226702030278,0.13245159602146905,0.6733326459934593,0.05559830910771534,175.46968246994504,9.933712724027437,0.09718226702030278,0.13245159602146905,0.09718226702030278,0.13245159602146905,0.09718226702030278,0.13245159602146905,0.2,0.44721359549995804,0.6733326459934594,0.05559830910771539,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,gaussian_fitted,bank1:3,marginal_max,0.1,0.0,0.1500121554915786,0.12677847229010691,0.6352616075845308,0.04455271707021959,27.65258191539789,2.134426073855957,0.1500121554915786,0.12677847229010694,0.1500121554915786,0.12677847229010691,0.1500121554915786,0.12677847229010691,0.6,0.5477225575051662,0.6352616075845308,0.04455271707021958,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,gaussian_fitted,bank1:3,relational_max,0.1,0.0,0.11116622720282052,0.1264218556363764,0.6618275566700313,0.08572460983546293,4.855882776457371,2.3827861237141694,0.11116622720282052,0.1264218556363764,0.11116622720282052,0.1264218556363764,0.11116622720282052,0.1264218556363764,0.4,0.5477225575051662,0.6618275566700313,0.08572460983546304,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,gaussian_fitted,bank2:6-10,conditional_max,0.1,0.0,0.04712981179800977,0.04670374593960709,0.46737293548920367,0.11844117440610602,65.66965213128114,21.854611883239922,0.047129811798009756,0.046703745939607084,0.04712981179800977,0.04670374593960709,0.04712981179800977,0.04670374593960709,0.0,0.0,0.46737293548920367,0.118441174406106,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,gaussian_fitted,bank2:6-10,independent,0.1,0.0,0.07501704755265391,0.08837237127577624,0.41762216469583074,0.14461873827382202,236.20100788139416,22.109049701784002,0.07501704755265393,0.08837237127577628,0.07501704755265391,0.08837237127577624,0.07501704755265391,0.08837237127577624,0.2,0.447213595499958,0.41762216469583063,0.144618738273822,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,gaussian_fitted,bank2:6-10,joint,0.1,0.0,0.0657763493843313,0.07205147813781167,0.5572143272693626,0.08601017956308274,224.96906183575092,16.890455170790702,0.06577634938433129,0.07205147813781165,0.0657763493843313,0.07205147813781167,0.0657763493843313,0.07205147813781167,0.2,0.447213595499958,0.5572143272693626,0.08601017956308275,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,gaussian_fitted,bank2:6-10,marginal_max,0.1,0.0,0.054091568280636215,0.05381110223950202,0.22030781891563192,0.1509933241367595,60.79302507361071,19.318343515642326,0.05409156828063623,0.05381110223950203,0.054091568280636215,0.05381110223950202,0.054091568280636215,0.05381110223950202,0.4,0.5477225575051662,0.22030781891563192,0.15099332413675948,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,gaussian_fitted,bank2:6-10,relational_max,0.1,0.0,0.03851441648537439,0.038951693146445664,0.5473881206309745,0.07381316210955474,6.457997263676606,2.4586574429654164,0.03851441648537439,0.038951693146445664,0.03851441648537439,0.038951693146445664,0.03851441648537439,0.038951693146445664,0.0,0.0,0.5473881206309744,0.07381316210955464,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,gaussian_fitted,full,conditional_max,0.1,0.0,0.05105138042546074,0.05168953438673633,0.5352914499409677,0.10417633186390876,65.98369837631049,22.207046593146778,0.051051380425460736,0.05168953438673632,0.05105138042546074,0.05168953438673633,0.05105138042546074,0.05168953438673633,0.2,0.44721359549995804,0.5352914499409678,0.10417633186390876,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
