variant,method_name,mask,oracle_conditional_mae_mean,oracle_conditional_mae_std,oracle_conditional_bias_mean,oracle_conditional_bias_std,oracle_conditional_corr_mean,oracle_conditional_corr_std,oracle_marginal_mae_mean,oracle_marginal_mae_std,oracle_R_mae_mean,oracle_R_mae_std,oracle_R_corr_mean,oracle_R_corr_std,oracle_log_px_mae_mean,oracle_log_px_mae_std,n_seeds,seeds
unblocked,circuit,bank0:0-1,1.371726074263675,0.06895003514069115,1.1299154413386339,0.06867519102365655,0.6062227406696771,0.024954473925727753,0.48983488231173444,0.060708568852008954,1.1891527327555254,0.10004766708875848,0.6795553215972131,0.05069189496282976,1.6020308781363042,0.013170815232115055,3,"[11, 12, 13]"
unblocked,circuit,full,2.080403325988737,0.07763187702600836,0.4878227612669315,0.15475334650056652,0.7841969225444815,0.019179015377647223,0.48408458608793037,0.05060489211702744,1.9375030539538638,0.10903791458766506,0.7863670656269982,0.027755463811328693,4.510406806748812,0.13854998950344496,3,"[11, 12, 13]"
unblocked,circuit,random1:0,1.508383129647868,0.02248897783839447,1.272878110330112,0.023535153011412492,0.579749537522951,0.054332443816866464,0.4889147473255126,0.05553598263209337,1.3480387389604414,0.03643052552287805,0.6750651344587406,0.028111985723921405,2.7649174751819316,0.05027947633512385,3,"[11, 12, 13]"
unblocked,circuit,random2:1-2,2.415020436572785,0.1778852996692727,-0.5652487009087325,0.3238869385546497,0.7939492330868233,0.015474639946273655,0.4708597752365704,0.04644632108710727,2.3427041715224273,0.1920985519584389,0.7696483192501975,0.025327078598094153,2.52277259097037,0.14670177021454653,3,"[11, 12, 13]"
unblocked,circuit,random3:1-2-3,0.46959410237518373,0.05572698137979252,0.21902782056421063,0.06495018397590482,0.9036064972900095,0.023327130222628386,0.46959410237518373,0.05572698137979252,0.0,0.0,,,0.46959410237518373,0.05572698137979252,3,"[11, 12, 13]"
unblocked,circuit,single_sensor_0,0.46959410237518373,0.05572698137979252,0.21902782056421063,0.06495018397590482,0.9036064972900095,0.023327130222628386,0.46959410237518373,0.05572698137979252,0.0,0.0,,,0.46959410237518373,0.05572698137979252,3,"[11, 12, 13]"
uniform_wide,circuit,bank0:0-1,2.109667618892168,0.057942618906594044,1.9409119171544067,0.09088457398445007,0.3971727265510856,0.04569538024351997,0.3738434245579148,0.025067114420658742,1.9895712555264593,0.06111753988297078,0.33054397492731447,0.057574812893218794,2.23082014673292,0.05604723620442544,3,"[11, 12, 13]"
uniform_wide,circuit,full,3.057610787216524,0.10496414329505888,0.7464891257181812,0.16847772993002713,0.4570800870541232,0.02880145207450392,0.35793492087219764,0.01579961459952045,2.9782397072753923,0.10201937496934893,0.4922690609386138,0.04976882519099549,6.394855614928688,0.3840202122330054,3,"[11, 12, 13]"
uniform_wide,circuit,random1:0,2.451450714237978,0.045583212328125094,2.285297798237013,0.043151332902113475,0.31891470503334546,0.04202616311460043,0.35885240683754144,0.0114799107554019,2.3428407245088287,0.057035163593438305,0.3099808649357664,0.008914519964018602,4.39846930635439,0.06856478354137795,3,"[11, 12, 13]"
uniform_wide,circuit,random2:1-2,3.4704297575340575,0.35665126364420224,-1.276739468506885,0.306098252058021,0.5895400724005467,0.06973208942292772,0.3492298545281483,0.030325103515257835,3.4461105849102904,0.354237949147374,0.5457028203569931,0.09221218189474249,3.496193372703136,0.3591088987838634,3,"[11, 12, 13]"
uniform_wide,circuit,random3:1-2-3,0.35518246297616596,0.042373006445778315,0.12266079896380527,0.05385827959410931,0.951951743790144,0.01296197879182357,0.35518246297616596,0.042373006445778315,0.0,0.0,,,0.3551825046994173,0.0423730245417364,3,"[11, 12, 13]"
uniform_wide,circuit,single_sensor_0,0.35518246297616596,0.042373006445778315,0.12266079896380527,0.05385827959410931,0.951951743790144,0.01296197879182357,0.35518246297616596,0.042373006445778315,0.0,0.0,,,0.3551825046994173,0.0423730245417364,3,"[11, 12, 13]"
within_capacity,circuit,bank0:0-1,2.2447974131632775,0.1348645429974566,2.0704801685257905,0.17872609273324822,0.3445684425661319,0.044662419584057436,0.3855200629951181,0.04437504586070677,2.1096759179429614,0.14056903446770738,0.14711534427285775,0.23548314419962463,2.3777654369639447,0.13508459747320636,3,"[11, 12, 13]"
within_capacity,circuit,full,3.184203932309499,0.17142744118009606,0.7827552751993186,0.11609273448994228,0.3647595171675433,0.09859391574381662,0.3835224229030765,0.030012474127939753,3.0925849248610917,0.15259216463272376,0.3655714562811892,0.10379000888037372,6.7758432454163255,0.46547508755765254,3,"[11, 12, 13]"
within_capacity,circuit,random1:0,2.571773263843634,0.11441589642689791,2.4165037130522795,0.14884735849380568,0.2838869802683877,0.06870373584069624,0.38944564203603393,0.045401964121268595,2.4389459944793708,0.08784996229406103,0.2508929208791868,0.06470656403937806,4.701065281200589,0.28389665590552,3,"[11, 12, 13]"
within_capacity,circuit,random2:1-2,3.801076724522519,0.39796088734440194,-1.2718490506528937,0.24313784336069522,0.42549631117235515,0.09613525702460558,0.3771706006209771,0.030507610495212487,3.776766525508473,0.38841513234775515,0.07250966541974663,0.3298136628519951,3.830574893035672,0.4040406017064078,3,"[11, 12, 13]"
within_capacity,circuit,random3:1-2-3,0.36575276550420416,0.018283934725413353,0.136245849268536,0.033651819649795495,0.9518160229391327,0.007369782991999644,0.36575276550420416,0.018283934725413353,0.0,0.0,,,0.3657527420597106,0.018283919538490866,3,"[11, 12, 13]"
within_capacity,circuit,single_sensor_0,0.36575276550420416,0.018283934725413353,0.136245849268536,0.033651819649795495,0.9518160229391327,0.007369782991999644,0.36575276550420416,0.018283934725413353,0.0,0.0,,,0.3657527420597106,0.018283919538490866,3,"[11, 12, 13]"
